Date,Open,High,Low,Close,Volume
2025-05-01,142.50,145.20,141.80,144.75,2850000
2025-05-02,144.90,146.30,143.50,145.80,3120000
2025-05-05,145.60,147.85,145.10,147.20,2940000
2025-05-06,147.40,148.90,146.80,148.15,3250000
2025-05-07,148.20,149.50,147.30,148.95,2870000
2025-05-08,149.10,150.75,148.60,150.25,3180000
2025-05-09,150.40,151.20,149.80,150.90,2750000
2025-05-12,151.00,152.30,150.40,151.85,3050000
2025-05-13,151.90,153.10,151.20,152.45,3320000
2025-05-14,152.60,154.80,152.10,154.30,3680000
2025-05-15,154.50,155.90,153.80,155.40,3940000
2025-05-16,155.20,156.70,154.50,156.10,3580000
2025-05-19,156.30,157.80,155.90,157.25,3720000
2025-05-20,157.40,158.90,156.80,158.50,3860000
2025-05-21,158.70,160.20,158.10,159.85,4120000
2025-05-22,159.90,161.40,159.30,160.75,3950000
2025-05-23,160.80,162.10,160.20,161.60,3780000
2025-05-26,161.70,163.25,161.10,162.90,3650000
2025-05-27,163.00,164.50,162.40,163.85,3890000
2025-05-28,163.90,165.30,163.20,164.70,4020000
2025-05-29,164.80,166.20,164.10,165.55,3740000
2025-05-30,165.60,167.10,165.00,166.45,3920000
2025-06-01,166.50,168.20,166.10,167.80,4150000
